model,type,review
S12(PD2162),内置程序,接受不了信息也发不了信息
S12(PD2162),内置程序,为什么卸载不了，为什么自动打开
S12(PD2162),性能赛道,二月买的手机，出现总是跳屏的问题，两个月之后去售后检测，售后让其恢复出厂设置，想让售后给其备份一下数据，售后说其不管，让其自己备份自己恢复出厂设置。但是恢复之后还是跳屏严重，有时候一天好几次跳屏，已经影响到自己的生活和工作了。其想要返厂维修，售后说让其抓数据。其不接受，表示这种情况不知什么时候出现，怎么抓，而且售后说话态度不好，说这么不专业的话。当时去售后没有预留号码，因为售后只给其进行的查看，没有检测一下的。其现在来电的需求：售后的那些方法都试了，要求返厂维修，除了抓取数据有没有其他的方法可以尽快解决其机器问题。
S12(PD2162),性能赛道,为什么现在我进不去了？
S12(PD2162),内置程序,通知信息已联系人信息在一起显示了  建议分开，方便查找信息   在设置上无法找到此功能
S12(PD2162),发热赛道,总是容易发烫，刚买时没这样的，用久了就是这样了
S12(PD2162),内置程序,相册视频做不了来电视频，会显示无本地视频
S12(PD2162),性能赛道,调节音量有延迟，按一下都调大一半，遇到好几次了，每次都要重启才恢复正常。
S12(PD2162),内置程序,兔兔图图片88  好 け号れども
S12(PD2162),内置程序,在vivo的锁屏页面，连续输入五次错误密码，弹出新页面。选择忘记密码在新的页面中，找到页面中的忘记密码这个选项，点击它。进行身份验证切换到身份验证的页面后，回答两个问题，再点击右上角的验证。重设密码等待身份验证成功后，就可以重新设置锁屏密码了。也快以打开查找设备在vivo云服务官网页面中，找到页面右下方的查找设备这个选项，点击它。开始清除设备进入到查找设备的页面后，找到清除设备这个选项，点击它，弹出窗口。选择确定在窗口的页面中，点击确定，等待恢复出厂设置后，即可重新设置锁屏密码了。
S12(PD2162),性能赛道,我他妈刚买的s12没一个月就出了s15艹，s12打游戏是真的卡
S12(PD2162),内置程序,我把游戏软件通知关了，怎么又打开了
S12(PD2162),内置程序,不能接收短信、不能接收验证码
S12(PD2162),内置程序,指纹解锁录制不了指纹
S12(PD2162),内置程序,接收不到短信？什么情况？
S12(PD2162),内置程序,拍出来的文档在拍的时候是好的，但是打开相册之后就变得很黑很糊。如下图
S12(PD2162),性能赛道,手机真伪;***查询激活时间 延迟72个小时都没刷新正常吗
S12(PD2162),内置程序,第三方软件;imei码：***（注：BPM正文不允许将imei码复制过去，记录在咨询检录即可） 1、问题现象及复现步骤：上海用户使用「Metro大都会」软件不能扫码乘坐地铁（扫码无效导致无法进站，升到最新版本也刷不了，必需将手机重启才行 2、问题出现次数：必现/一天多次/很难复现（低概率难复现无需建单） 3、第三方应用名称：Metro大都会 4、第三方应用版本号：V1.0.7.4 5、应用下载途径：应用商店/其它途径（提供下载链接或APK安装包）6、第三方应用是否属于抖音/快手（“是”则需填写id） 1.抖音id（抖音-我-右上角更多-设置-上滑至底部-连续点击五次抖音版本号-双击复制内容） 2.快手id（快手-左上角更多-点击头像-编辑资料或完善资料）-用户ID/快手号）7、第三方应用是否属于游戏类：(“是”则需填写以下三个小项) 1.游戏账号（无需密码） 2.游戏区服（不分区服可不提供）:xx区 3.出现异常时使用的网络：WiFi/数据网络（注明是哪家运营商）8、系统版本号： 9、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）10、Log提取码11、服务码(没有就不填写) 12、抓Log时问题出现时间点(精确到分)13、是否有承诺回复（承诺回复需备注回复时间）：
S12(PD2162),内置程序,拍照时手机放倒照片拍下变横的不好
S12(PD2162),内置程序,为什麼收不到银行短信？
S12(PD2162),内置程序,钉钉有时候来消息有信息有时候没有
S12(PD2162),性能赛道,为什么vivos12打游戏网络会卡，在同一个网络下也有手机打游戏不卡，这事怎么回事[at:d5daf71441d18b02] 
S12(PD2162),性能赛道,待机后台无运行 耗电快  坚持时间不足一天
S12(PD2162),内置程序,天气小人找不到了，也找不到怎么重新设置出来
S12(PD2162),内置程序,手机无欠费，但是发送不了信息
S12(PD2162),内置程序,怎么设置短信内容不显示，锁屏的时候不想给别人看见信息内容
S12(PD2162),发热赛道,手机发热
S12(PD2162),性能赛道,我的为什么进不去  无法选区
S12(PD2162),内置程序,为什么vivo S12 手机没有带便签功能。 标签多么方便的一个软件，没有人用吗？
S12(PD2162),发热赛道,手机发热严重
S12(PD2162),内置程序,拍照后照片是反的或者横的，怎么设置
S12(PD2162),内置程序,验证码信息接连不断的发来
S12(PD2162),续航赛道,耗电太快
S12(PD2162),内置程序,手机下方的返回键（导航键）不灵敏，点不动
S12(PD2162),内置程序,你好:最近几天都没有收到短信了？！我的手机号码是18930552961
S12(PD2162),内置程序,vivo手机的便签在哪个地方？怎么找不到
S12(PD2162),性能赛道,一直加载失败显示刷新，刷新之后也是加载失败，显示游戏有问题
S12(PD2162),内置程序,这个NFC是什么东西？一直弹窗
S12(PD2162),性能赛道,用户昵称：唐僧也抽烟用户地址：四川省万源市内容描述：用户来访反馈手机老是死机，自动重启，有时候死机以后重启都没反应，强制重启也没反应新机器买了没多久就开始出问题，给其正常排查之后不能解决其的问题，不方便前往服务中心不方便寄修手机表示提供个备用机就寄修，修好了备用机还你们，查看用户今天的聊天记录已经多次来访，表示花钱买个手机就是用的。现在手机有问题是你们的问题。还得我自己找手机用？现在已经越来越频繁了，这都连续第3个月了，家人好几个用vivo，觉得机器还可以才买的，结果就这闹心，这简直太伤害我作为V粉的心了对VIVO的质量失去了信任，安抚致歉，请其保持电话畅通反馈平台：vivo网页反馈人：文琴琴
S12(PD2162),性能赛道,打英雄联盟团战时掉到40多帧
S12(PD2162),性能赛道,卡在第一章噩梦第二关了 明明过了 为啥还在第二关 求解
S12(PD2162),内置程序,这就是吹的电影感，我还是喜欢12。
S12(PD2162),发热赛道,vivo12   真是体验感  容易发热   待机时间段     像素 标注一亿拍不出五千的感觉   充电时间比刚买来时间长了点（使用170天）    暂时在没有其他问题
S12(PD2162),内置程序,能不能禁止消息提醒，真想卸载你们的软件。不需要收到你们的通知提醒。
S12(PD2162),内置程序,我|的手机是s12一开始熄屏的时候能唤醒，而现在为什么熄屏不能唤醒？
S12(PD2162),续航赛道,这个版本的系统怎么样？我现在用的12.0的版本，有S12手机升级最新版本系统的说一下，最新版本耗电怎么样？
S12(PD2162),发热赛道,设备无故发热
S12(PD2162),内置程序,拉黑名单和拦截了13798233157这个号码，这样应该这个号码发信息到我手机上发不进来的，为什么还可以收得到这个号码给的短信息
S12(PD2162),性能赛道,一直加载失败。。。。。。
S12(PD2162),发热赛道,用了很多年的vivo手机了，这次买这个s12真的太垃圾了，打个游戏居然手机烫得感觉要爆炸一样的，纯粹是烫手的，而且手机里面还有异响，轻轻在手上面敲一下，感觉里面有个什么零件要掉了一样，还有就是指纹解锁反应迟钝，要使劲按下去才识别的到，以前用的哪里遇到过这些问题哦。。
S12(PD2162),性能赛道,我的王者荣耀每隔几天就会删除资源包，一删除下载就要4G大小的资源包，其他游戏不会就只有王者荣耀会
S12(PD2162),内置程序,是什么原因收发短信功能没有了。拔打电话也打不出了。请查一下原因。
S12(PD2162),续航赛道,电池掉电厉害，真正使用也就两个月，现在每次充满电都是百分之88
S12(PD2162),内置程序,为什么老是一直发不了信息
S12(PD2162),内置程序,收发不出信息
S12(PD2162),性能赛道,桌面图标卡顿
S12(PD2162),内置程序,微博超话一个一个取关太麻烦，小V它不会帮我取关
S12(PD2162),内置程序,验证码收不了，验证码收不了
S12(PD2162),内置程序,发不出信息  试过了3个手机都不能发出去 无欠费 尝试过重启
S12(PD2162),续航赛道,直接更新到1.14.0这个版本很省电，我基本一直亮屏看新闻呢
S12(PD2162),内置程序,悬浮窗显示的是最近文件，为什么
S12(PD2162),内置程序,自带的搜狗输入法为什么键盘不能切换成其他小语种，就日语韩语中文英文这么几种，太难用了吧，为了用意大利语键盘还得下载搜狗百度输入法app，但是我又不喜欢他们那种花里胡哨的键盘模式，早知道不买这个手机了，华为的自带输入法都可以切换多语种，你们这还不赶紧改进
S12(PD2162),性能赛道,更新太慢了
S12(PD2162),性能赛道,拍照时第一下是好的，过一会儿会变成粉粉的色调
S12(PD2162),续航赛道,电池有点鼓包，烦请关注处理，谢谢。订单号：***************8
S12(PD2162),内置程序,建议新系统更新动画可以做到1.0那样，然后希望把最经典的BGM(我在那一角落患过伤风)优化成可以设置的一个铃声，然后新系统续航一定要好好优化拜托了
S12(PD2162),续航赛道,怎么隐藏电量详情！！！！！！！
S12(PD2162),内置程序,长截屏不能截，有的能截但是截不全，中间会少几天
S12(PD2162),性能赛道,游戏的流畅度有点出乎我意料，我原本是冲着杰伦来玩的，不管是打击感还是画面风格都太出乎我意料了
S12(PD2162),内置程序,微信听语音的时候老是黑屏，还没声音，亮一下黑一下。
S12(PD2162),内置程序,我唤醒可以，别人唤醒也可以
S12(PD2162),内置程序,imei码：*** 1、问题现象及复现步骤：打电话对方听不到声音，其表示提示检测到当前录音失败，权限被禁止，微信也有这个情况 2、问题出现次数：必现/一天多次/很难复现（低概率难复现无需建单） 3、第三方应用名称：电话 4、第三方应用版本号：13.0 5、应用下载途径：应用商店/其它途径（提供下载链接或APK安装包）8、系统版本号：PD2162CA1.13.2 9、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）10、Log提取码11、服务码(没有就不填写) 12、抓Log时问题出现时间点(精确到分)13、是否有承诺回复（承诺回复需备注回复时间）：
S12(PD2162),内置程序,怎么显示两个信息图标还删不出
S12(PD2162),内置程序,我很喜欢原子通知这个设计耶，以前看验证码总是要碎碎念，现在直接看左上角就可以啦~还有一些取快递，天气的功能，经期功能超给力，就不用额外再装app.了！还有最棒的原子笔记，可以整理笔记，我本人很喜欢记录一下东西在手机上，可以分类真的好棒棒棒[face:014:0][face:014:0][face:014:0]
S12(PD2162),内置程序,今天的日程漫漫  明天好像也是
S12(PD2162),内置程序,照片视频丢失，照片视频无故就没有了
S12(PD2162),续航赛道,正常耗电
S12(PD2162),内置程序,微信锁屏不会显示消息
S12(PD2162),内置程序,指纹输入了，但指纹解锁总解不开。还有指纹解锁那个灯一直亮着，能关掉吗？
S12(PD2162),内置程序,刷抖音时听歌识曲不能用，已经开了权限；nfc绑了门禁卡可以刷楼门的门禁刷不了电梯门禁。
S12(PD2162),内置程序,今日头条系不支持深色模式了吗 晚上还好好的 睡了一觉起来头条没深色模式了 app重装不行 手机重启也不行
S12(PD2162),内置程序,信息发送不了，两个卡都发不了
S12(PD2162),内置程序,就是这个闹钟能不能设置单独的调整声量啊，不可能每个闹钟的声量都一样大小是吧？我之前那台手机，就能每个闹钟，都能设置不一样的音量。麻烦升级一下。
S12(PD2162),内置程序,机器出现相册相机图片丢失的现象，来电表示不满，KM排查都未找回，音引导其抓取LOG日志，烦请关注。
S12(PD2162),性能赛道,两只蓝牙耳机一起用总是会断断续续的声音
S12(PD2162),续航赛道,耗电快
S12(PD2162),续航赛道,为什么手机电池待机时间段费电
S12(PD2162),内置程序,手机声音有延时，比如播放的软件已经清除后台了，声音还会在播放一段时间才消失
S12(PD2162),内置程序,别人也可以唤醒语音助手
S12(PD2162),性能赛道,屏幕滑动不流畅
S12(PD2162),性能赛道,手机拍摄视频为什么不能延时？
S12(PD2162),内置程序,什么都卡，划屏到第二个屏幕要等8秒钟左右，要打开APP按图标有时10几次都没反应的有没有人像我这个情况？一天到晚想砸烂它。
S12(PD2162),性能赛道,这个疯和尚写的草书，被誉为天下递一！历来学书者无不尊他为圣人 #书法 #书法艺术#谁说书法不快手https://v.kuaishou.com/v9OZYa
S12(PD2162),内置程序,无法唤醒语音助手，录制不了声音
S12(PD2162),内置程序,搞不懂 头条把vo的深色模式都不适配了
S12(PD2162),内置程序,imei码：*** 1、问题现象及复现步骤：手机收不到短信（所有短信都收不到），换手机就能收到了，按KM 不能接收短信 排查无果，建议抓电话/信号 2、问题出现次数：必现 3、应用或功能名称：信息 4、应用版本号：6.3.2.1 5、系统版本号： 6、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）7、Log提取码8、服务码(没有就不填写) 9、抓Log时问题出现时间点(精确到分)10、是否有承诺回复（承诺回复需备注回复时间）：3-5工作日
S12(PD2162),内置程序,设置完锁屏声音键盘声音 过一会系统就自己关了 然后重新设置 在过一会系统又自己关了
S12(PD2162),性能赛道,手机大卡反应太慢
S12(PD2162),性能赛道,边通電話边打游戏总是会黑屏
S12(PD2162),内置程序,截图很方便
S12(PD2162),性能赛道,微信一点进去卡了一下就闪退有时候进不去特别是分屏的时候。
S12(PD2162),续航赛道,S12什么时候才能看电池容量能不能快一点
S12(PD2162),内置程序,接收快递信息延迟，不能及时接收
S12(PD2162),内置程序,在手机设置里找不到更多设置，无法把优盘里的东西打开荤导入
S12(PD2162),续航赛道,我的s12为什么还不出那个电池健康度[face:010:0]
S12(PD2162),内置程序,识别不了图像。没开防触屏
S12(PD2162),内置程序,如何关闭信息提示音，我不想听到短信提示音
S12(PD2162),续航赛道,s12电池什么能显示电池健康啊
S12(PD2162),内置程序,我的手机瓶幕上中间出现字体怎么除都除不掉，请老师指教
S12(PD2162),性能赛道,为什么老子用企业微信上课，不动屏幕它会黑屏。还有玩游戏的时候有人打电话接电话手机会黑屏
S12(PD2162),内置程序,发送不了短信  显示无卡
S12(PD2162),内置程序,没有卡片，在桌面不能添加
S12(PD2162),性能赛道,反馈的也太快了！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
S12(PD2162),内置程序,笔记本标签过大了，需要调小一点
S12(PD2162),发热赛道,不必为了一束没有温度的光而遗憾
S12(PD2162),内置程序,能不能不要自动优化相册啊，明明拍的时候很好看，成品直接自动优化磨皮高清，丑死谁啊
S12(PD2162),内置程序,通讯录联系人的生日无法同步到日历作为日程
S12(PD2162),内置程序,游戏风格很好，而且还可以挂机升级，画质也挺好的
S12(PD2162),续航赛道,电量显示问题
S12(PD2162),内置程序,系统的，我也没开过阅图锁屏啊
S12(PD2162),发热赛道,手机打视频为什么那么发热
S12(PD2162),发热赛道,这个版本就是续航不稳定，然后发热变多了一些
S12(PD2162),内置程序,开启闪光灯拍照后的照片白茫茫一片，没有贴过镜头膜
S12(PD2162),性能赛道,手机系统升级后手机网络特别不稳定，看抖音或者视频，在居住的地方之前都能流畅观看，现在动不动视频会出现卡顿缓存现象，同一个位置同一张卡，升级系统后网络频繁出现类似的！重启都不行！建议优化
S12(PD2162),发热赛道,录屏发热
S12(PD2162),内置程序,来电提供提取码:244586查询并无视频，其表示自己没有录制，告知其如何操作抓取，建议其重新上传，其接受正常挂断。 一、Log类型：选择“通用异常/通用” 二、抓取方法：使用故障机本身的录屏功能进行屏幕录制并抓取Log，同时用另外一台手机拍摄故障机视频，问题出现时在故障机按下音量下键和电源键，记录问题时间点，等待10秒后，关闭屏幕录制，上传Log，提供Log提取码、录屏、拍摄视频。 1、问题现象描述：下滑之后左边控制中心位置，整体都被放大，里面的内容显示不全了，关机重启后会恢复一段时间 2、问题复现步骤3、问题出现概率：必现/一天多次/很难复现：必现 4、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）5、问题录屏/录像/截图与Log是否对应6、Log提取码7、服务码（没有就不填写）8、抓Log时问题出现时间点(精确到分)软件版本号： IMEI：***
S12(PD2162),内置程序,收不到验证码，发不出去短信，但是有电话费手机卡也正常
S12(PD2162),性能赛道,每次打王者的时候后台收到QQ消息或者微信消息这个时候王者界面就会特别卡顿特别掉帧，能不能优化一下，除了王者一个应用都没有挂在后台
S12(PD2162),续航赛道,就我个人而言，我更期待大促直播和新品直播，可以通过适当的促销，让想入手但没有入手的人赶紧入手[face:014:0]，也可以限时抽奖和抽取幸运用户送一些礼品。新品也是很期待。直播嘉宾希望产品经理和设计师一起，展示产品的新功能，详细讲解产品的设计理念，还有产品的特别之处，倾听用户们的使用体验和使用上的一些问题，解答一些用户们最关心的问题，（例如系统升级，电池优化等）只是自己的一些见解仅供参考
S12(PD2162),续航赛道,耗电快
S12(PD2162),内置程序,无法关闭镜像设置，拍照时默认镜像很糟糕
S12(PD2162),性能赛道,总是掉帧，一卡一卡的
S12(PD2162),内置程序,如果把同时按‘电源键和音量-’超级截频功能关点，相册里一天就出出现很多莫名奇妙的截图烦死了，
S12(PD2162),性能赛道,可不可以前几天的天气预报全鸡巴给我出来
S12(PD2162),性能赛道,很好，但是容易卡，一卡住就无法操纵，希望官方可以重视起来
S12(PD2162),内置程序,种善因得善果 #正能量心情文字 #疗愈 #治愈系文字https://v.kuaishou.com/uY8RKb
S12(PD2162),续航赛道,为什么手机晚上充了电，结果第二天早上是关机的，充上充电器，电量直接在17，是什么原因？？
S12(PD2162),性能赛道,手持s12 表示天玑优化太差，逛个贴吧都拉，反馈就是app的锅
S12(PD2162),内置程序,有的应用突然用不了，我想复制，但是复制不了了，我已经设置可以用的的，之前都可以用的，现在突然用不了了
S12(PD2162),内置程序,imei码：*** 1、问题现象及复现步骤：S12 移动号码无法收发短信，其他移动SIM卡和手机可以接收 2、问题出现次数：必现 3、应用或功能名称：信息 4、应用版本号：6.3.2.1 5、系统版本号： 6、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）7、Log提取码8、服务码(没有就不填写) 9、抓Log时问题出现时间点(精确到分)10、是否有承诺回复（承诺回复需备注回复时间）：
S12(PD2162),性能赛道,机器出现死机的现象，于9月28日将手机亲自送至售后（武威市天祝县团结路客户服务中心）检测，售后操作手机后建议其观察使用，现在手机再次出现这种问题，于10月16日再次送至售后检测，售后仍是在电脑上操作后告知其拿回家观察使用，回到家后死机再次出现，对此不满，表示已经多次出现，质疑手机质量有问题，来电要求公司协助处理好机器问题。
S12(PD2162),内置程序,为啥锁屏壁纸和桌面壁纸不能单独设立？？
S12(PD2162),内置程序,忘记录屏密码不是我怎么弄
S12(PD2162),内置程序,打游戏的时候，分屏听个语音就闪屏，刷抖音接电话也是，？？？？
S12(PD2162),发热赛道,使用体验最差的一款手机，动不动发烫，从买来第二天就开始，发烫就卡，真踏马垃圾，去售后售后告诉我使用手机的方法，用这么多手机了怎么使用用你们教，断网发烫，也是绝了？
S12(PD2162),内置程序,桌面图标异常，持续很久了，上一次更新之后突然就这样了，这桌面真的没问题吗我就想问?
S12(PD2162),内置程序,无法接受和发送短信
S12(PD2162),内置程序,深色模式关闭后，i音乐没有恢复浅色模式。关机重启也没有用。
S12(PD2162),内置程序,这是什么游戏，别人都能打字，到我这显示系统升级，关闭打字服务了
S12(PD2162),内置程序,突然收不到短信验证码
S12(PD2162),内置程序,vivos12横屏切换应用功能故障希望修复
S12(PD2162),内置程序,关闭密码解锁和指纹，突然顺畅多了，反应也提升了
S12(PD2162),内置程序,收不到短信验证码，没有短信拦截也没有黑名单
S12(PD2162),内置程序,手机未欠费，但接收不到信息
S12(PD2162),发热赛道,发热/发烫;手机看抖音发热 服务码: 658707 ***查询真伪
S12(PD2162),内置程序,收到短信有提示音，但图标的角标不显示收到未读短信数量是怎么回事？
S12(PD2162),内置程序,"拍出来图片会自动变成灰色,调也调不回来"
S12(PD2162),内置程序,主题很好
S12(PD2162),性能赛道,反回卡顿，反应迟钝
S12(PD2162),续航赛道,要换了，我感觉我12耗电也不行
S12(PD2162),续航赛道,晚上耗电量高，请找明原因
S12(PD2162),内置程序,这设置屏幕健在哪里面
S12(PD2162),内置程序,相册全是白色，点不进去相册。经常这样。。
S12(PD2162),续航赛道,手机充电慢，电量也不抗用，剩下百分之10的时候 调电3/5个那么调，刚买的时候就有这个问题去售后监测说没有问题
S12(PD2162),内置程序,本机计步数及公里数不匹配卫星计步10公里，手机显示只有8点几公里，
S12(PD2162),发热赛道,imei码：*** 1、发热日期及时间：不记得 2、详细记录用户描述发热的过程信息及场景：微信视频聊天、抖音发热 3、使用环境：室内/空调 4、发热部位信息：手机上半部分 5、有没有带手机壳，手机壳是否包裹住手机中框？：没有 6、Log提取码7、服务码（没有就不填写）8、是否有承诺回复（承诺回复需备注回复时间）：
S12(PD2162),内置程序,手机无法收到，发送信息。没有欠费，内存足够
S12(PD2162),内置程序,我s12也是，要开性能模式才能稳住60
S12(PD2162),内置程序,悬浮球功能无法永久关闭
S12(PD2162),内置程序,不要出来了，我在听音乐，你是傻逼嘛
S12(PD2162),内置程序,数据流量;imei码：*** 1、问题现象及复现步骤：上网慢 卡在其他手机正常 通话时网络正常 耍抖音流畅， 表示只要通话结束后使用网络就不行 2、问题出现地点（*市*区*路几号楼或者*大夏）：西藏那曲地区江达乡 3、SIM卡组合：联通卡+ 移动卡 4、数据卡是哪张卡：移动卡 5、出问题时驻留的网络（5G/HD、4G/HD、4G、4G+、3G、2G）：4G/HD 6、系统版本号： 7、问题出现次数：必现/一天多次/很难复现（低概率难复现无需建单）：频繁 8、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）9、log提取码10、服务码（没有就不填写）11、抓Log时问题出现时间点(精确到分)12、是否有承诺回复（承诺回复需备注回复时间） 
S12(PD2162),内置程序,对了，我看完了一部电影《双食记》
S12(PD2162),内置程序,为什么是2009年啊;如何验证手机真伪;vivo s12;***;然后呢;那为什么是2009年啊;不是 那为什么现在2009年啊;我需要解答一下这个问题;这是我给别人发邮件的时候才看到;日常在哪打开啊;找不到;能;退款退货;不好意思 点错了;刚换新机的时候;那个也是vivo的;我打不开;就是只能发送邮件。;只能发送邮件的时候才能看到这些文件;但是办法预览看不到里面文件是什么东西。;没办法;打开里边全是这样的;不能看到;行;你直接看吧;微信里点进去的邮箱;核实好了吗;咨询什么软件方啊
S12(PD2162),内置程序,原子隐私系统密码忘记了怎么办
S12(PD2162),内置程序,imei码：*** 1、问题现象及复现步骤：S12全网通 手机划出游戏侧边栏，是灰色的，没有网络 2、系统版本号： 3、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）4、Log提取码5、服务码（没有就不填写）6、抓Log时问题出现时间点(精确到分)7、是否有承诺回复（承诺回复需备注回复时间） 慢卡顿现象判断 卡：界面静止，点击滑动无作用。Home键、上滑、电源键、下拉状态栏有作用，属于应用自身功能逻辑异常。 慢：手机能动、只不过比较慢而已，没用户预想的那么快。 顿：手机能动，动画过渡不连续，断断续续，瞬间卡瞬间恢复，即不流畅。
S12(PD2162),性能赛道,扫码太慢了，扫不出来。有时候很久才扫出来，有时候扫不出来。要是像苹果手机一样，扫码时自带一个框框一下就扫出来了。
S12(PD2162),内置程序,其它功能;S12的上市时间，价格，在哪里看手机参数 *** 保修期 如何设置指纹解锁
S12(PD2162),内置程序,玩这游戏挺久了，感觉挺好的，画质很好，就是匹配机制有点啥，希望能改改。还有，能不能搞一个背景切换，背景音乐切换什么的，能换到之前版本的，现在想听一下之前版本的音乐。
S12(PD2162),性能赛道,有也不考虑蓝厂，更新换代太快了，系统问题升级慢
S12(PD2162),性能赛道,手机信号;卡，信号不稳定，没有信号，时有时无 查询真伪 *** 手机 S12全网通 耀黑 PD2162CA 256G+12G
S12(PD2162),内置程序,欢迎使用壁纸
S12(PD2162),性能赛道,不卡了
S12(PD2162),内置程序,手机号黑名单怎么拉出来
S12(PD2162),性能赛道,太卡了
S12(PD2162),性能赛道,启动不了，无法玩。什么情况
S12(PD2162),内置程序,vivopad密码忘了，怎么办
S12(PD2162),内置程序,就我发不了信息吗？一直给客服反应，客服就一直说说系统维护，别人能发信息我不能，别人拿我当人机！（游戏还是好玩的，但玩法还是有点少）重新吐槽:发不了信息！
S12(PD2162),内置程序,imei码：*** 1、问题现象及复现步骤：通话断断续续 2、问题出现地点（*市*区*路几号楼或者*大夏）3、SIM卡组合4、数据卡是哪张卡5、出问题时驻留的网络（5G/HD、4G/HD、4G、4G+、3G、2G）6、系统版本号7、问题出现次数：必现/一天多次/很难复现（低概率难复现无需建单）8、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）9、log提取码10、服务码（没有就不填写）11、抓Log时问题出现时间点(精确到分)12、是否有承诺回复（承诺回复需备注回复时间）：
S12(PD2162),内置程序,导航键无法唤起近期应用
S12(PD2162),内置程序,应该自动设置未成年无法通过实名认证，昨天我家孩子在我不知道的情况下，就用我的手机偷偷认证了她自己的信息
S12(PD2162),性能赛道,我这个手机为什么就是打钱过去要两个小时才能到账，我想把它改成实时到账。怎么没有这个功能
S12(PD2162),性能赛道,游戏无法启动
S12(PD2162),续航赛道,谁知道vivos12的电池所剩容量在哪里看
S12(PD2162),续航赛道,耗电快
S12(PD2162),内置程序,引起众怒!美国人在实验室中制造出致死率达80%的新冠状病毒毒株!https://v.kuaishou.com/A8dEe9
S12(PD2162),发热赛道,手机一上午频繁莫名死机   正常使用  机体没有发烫  有时死机后自动重启  有时死机后直接关机！
S12(PD2162),发热赛道,TSNXCN-2022102000033 发热/发烫;待机时间短/耗电快;imei码：*** 1、发热日期及时间：不记得 2、详细记录用户描述发热的过程信息及场景：微信视频聊天、抖音发热 3、使用环境：室内/空调 4、发热部位信息：手机上半部分 5、有没有带手机壳，手机壳是否包裹住手机中框？：没有 6、Log提取码7、服务码（没有就不填写）8、是否有承诺回复（承诺回复需备注回复时间）：
S12(PD2162),性能赛道,没反应
S12(PD2162),性能赛道,游戏怎么进不去
S12(PD2162),性能赛道,定位超时
S12(PD2162),性能赛道,刷抖音有时候会卡有时候会闪退
S12(PD2162),内置程序,发不了信息发不出去信息
S12(PD2162),续航赛道,机器出现耗电快的现象，目前机器在湖北省武汉市洪山区，不方便前往售后，也不愿意进行异常检测，表示手机刚用50天，自己不接受这个耗电情况，来电要求公司协助处理。
S12(PD2162),性能赛道,机器出现使用抖音和斗地主卡顿微信闪退的现象，于购买几天就有带至售后（河北区保定市定州市）检测，售后检测告知没有问题，但是自己使用一直都有这些问题，于昨日又带至售后检测，其表示售后不给其解决，来电希望协助处理。售后预留电话：158***5604
S12(PD2162),内置程序,反正出货率比较低，但是也还行，但看别人出货之后，我他喵感觉我玩的不是一个游戏，玩了近3千局了，一个机密文件都没见到
S12(PD2162),内置程序,隐私部分，我如何将文件进行屏蔽？又如何用快捷方式打开？
S12(PD2162),发热赛道,用电快手机发热
S12(PD2162),内置程序,壁纸漂亮
S12(PD2162),内置程序,游戏里的家具只能转两个角度，在摆放的时候无法做到美观，在经营角度来说制作台也应该远离餐桌，所以应该要有柜台和收银员才对，还有就是页面的图标总有红色感叹号，点开了却找不到是哪个活动没做，说明指示特别不显眼，然后有些时候做完了任务感叹号也不消特别碍眼
S12(PD2162),内置程序,卡二经常断网状态，反复试过很多次结果一样断网，所有软件都打不开网页登录
S12(PD2162),内置程序,刚设置上 虽然不知道具体有啥用
S12(PD2162),内置程序,46服，游戏不能打字聊天了，1250级以后怎么没用天赋点了？不能聊天这游戏怎么玩的下去？
S12(PD2162),性能赛道,游戏画面美观，画面流畅，不氪金也能玩的很好
S12(PD2162),性能赛道,仙侠神域区服信息：4087服-大圣1087 (新服)角色ID：2138112176角色名称：爺丨不可一世刚充了个首充直接卡死，上线刷怪不管多久，就二级不动，我擦你奶奶个腿，玩我啊！
S12(PD2162),内置程序,保存下来的图片带地理定位，我想关闭这个定位
S12(PD2162),内置程序,指纹解锁为什么会禁用？？？怎么重新用指纹解锁？？
S12(PD2162),性能赛道,可以搞快点吗？vivopad出了也有半年了。木的选择阿内存可以搞大点吗？可以搞扩容吗？芯片可以新一点吗？可以5g吗？毕竟wifi不方便平板笔可以磁吸充电吗？可以无线充电吗？最重要的是搞快点！！！22年年底能出吗？现在还没消息最后许愿二代能送电容笔吗？
S12(PD2162),发热赛道,刷视频不到十分钟就特别烫手
S12(PD2162),内置程序,能不能把唤醒词更新啊，让唤醒词多样化，只有这两种唤醒词有两部手机就同时唤醒了，我只要一喊小V小V同事的手机也一起开启了。
S12(PD2162),内置程序,没有唤醒 会突然自动跳出
S12(PD2162),内置程序,相册里照片莫名奇妙不见了
