model,type,review
T2x,续航赛道,一天一充，不玩游戏，看看小说刷刷视频，到晚上还有一半的电
T2x,性能赛道,忽然发现，关了内存融合，手机更流畅
T2x,性能赛道,触屏经常出现不灵 要反复按几次
T2x,内置程序,兄弟 你这个时分秒怎么设置的，插件吗？我看自带没有这个功能啊
T2x,内置程序,拨号界面，点进去无法分享联系人。不方便
T2x,性能赛道,我感觉关了杀后台，
T2x,性能赛道,真的最垃圾的手机，才买了不到十天打王者我就挂了个微信电话在后台，直接黑屏，卡死，掉帧以后再也不碰vivo
T2x,内置程序,你更新个桌面跟音质卵毛关系啊
T2x,内置程序,我的触摸反馈也很垃圾
T2x,内置程序,微信群聊天接收视频，图片总是延迟，慢一步，你们遇到过没有？
T2x,内置程序,机器出现看视频的时亮时暗的现象，经检测符合换机，给其开具了换机单，因机器离购买点远，购买点有疫情，无法前往，是否可以在售后更换，目前在（辽宁省营口市大石桥市），来电希望公司协助处理。售后地址：营口市大石桥市哈大中路客户服务中心
T2x,内置程序,新通知提示音可以都添加一下
T2x,性能赛道,长时间未使用手机时双击亮屏无响应
T2x,性能赛道,现在游戏都进不了
T2x,内置程序,微信通话的时候，我点击微信扫码发现相机异常，图像几乎全是白的，有图像，但好象曝光过度一样非常不清晰，清除相机储存空间和缓存然后重新打开本地相机还是这样，过了一段时间。然后重新打开又正常了
T2x,内置程序,像我这样设置就可以了
T2x,性能赛道,今天怎么进不去
T2x,续航赛道,电池健康的话，在等着可能下下个版本可能就有了
T2x,性能赛道,系统快！
T2x,性能赛道,消息也是慢一点
T2x,续航赛道,T2X什么时候更新电池健康？？？
T2x,性能赛道,希望优化一下vivoT2x，手机不太好用，有些卡顿，根本没有发挥出来天玑1300的实力，好好优化一下吧
T2x,续航赛道,续航一直就不错
T2x,性能赛道,我表达的不清楚，比上一个版本亮屏时间长多少？
T2x,续航赛道,T2X更新还不错！比上次有进步起码续航OK了！因为主打是续航
T2x,内置程序,多任务卡顿，界面不动，例如正在看视频，来微信点开后视频则返回不能继续看，退出后手机屏界面点不开，所有软件都不好使，只能重新启动后才好使，太卡了，好多次了
T2x,内置程序,i管家，文件管理  这两个都能找到保密柜，新系统的话只有原子隐私系统，
T2x,性能赛道,天机1300肯定性能更好，还有144高刷和NFC，前置摄像头1600，z6x800，8+256价格现在基本价格一致，想不通选z6x的理由是什么？我选它做备用机原来的三星s21都丢抽屉了！
T2x,续航赛道,费不费电，我有感觉。请理解我说的意思
T2x,内置程序,游戏侧边栏里面加个游戏稳帧
T2x,内置程序,T2X什么时候才有光遇壁纸啊？？？始终都可以根据时间变化颜色.
T2x,续航赛道,电池老化了，换1块电池满血复活
T2x,发热赛道,昨天更新的，今天充电手机发热，总不能充电的时候把手机壳拿下来吧，那多麻烦[face:014:0]
T2x,内置程序,为什么我t2x微信打电话给别人 那个微信的铃声变得非常混浊 别人打给我那个语音又不会混浊 就微信会这样 qq又不会这到底是什么问题啊
T2x,内置程序,有时拍照或者扫描显示一片白色，图像模糊
T2x,内置程序, 输入法不完美
T2x,内置程序,开发者模式关了，会还原
T2x,性能赛道,关照好的地方拍照还可以，传感器JN1还是凑和的，就是屏幕不是多么灵敏
T2x,内置程序,有性能模式
T2x,内置程序,打电话和视频扬声器它自动关闭，对方听不到声音
T2x,内置程序,系统升级;用户来电表示反馈系统使用情况 T2x不支持两个以上的软件同时使用麦克风，给其解释安卓机型的限制，其不接受，表示之前的手机就可以，对直播时无法直播不满，表示是系统问题，要求反馈改进，告知其作为用户意见反馈 .W10.v000l1 *** 
T2x,内置程序,让助手去接听自己不想接听电话，不知道行不行？
T2x,内置程序,拨号界面总是出现开通VOLTE的通知，点进去发送短信却是空白，每隔一段时间就有，不知道是什么意思
T2x,内置程序,主界面能不能做个这样的带天气黄历农历星期电量显示的时钟出来？？？
T2x,性能赛道,控制中心过度动画吊针严重
T2x,性能赛道,拍照效果一般，性能凑合，不过这价位也没什么更好的选择了
T2x,性能赛道,现在感觉王者没掉帧了，是不是优化了哦，用着还可以了
T2x,性能赛道,拍照延迟有点严重，新版本系统有必要升级吗？主要优化了什么？
T2x,性能赛道,老app，很顺手
T2x,性能赛道,这手机性能释放太保守了，热一点就锁帧降频
T2x,内置程序,别放入隐藏系统里，放入里面就被吞了，我有一些视频和一些隐私图片放进去过些日子在看就什么都没了
T2x,性能赛道,切换窗口上一个窗口不运行。比如：打开抖音然后切换微信，抖音就不能用了
T2x,内置程序,拍照不清晰，拍出来的照片很糊。微信视频看不清人脸
T2x,内置程序,我的t2x有时解锁后是黑屏，无论怎么触摸都没有反应，必须按指纹键锁住在重新解锁才能恢复正常
T2x,内置程序,不显示浮窗
T2x,性能赛道,拍照一般，续航，性能可以别的一般
T2x,内置程序,在自定义的软件文件夹里卸载软件无法卸载
T2x,内置程序,点开下载的主题，点删除就可以了
T2x,性能赛道,流畅就是我觉得不卡！[face:012:0]
T2x,内置程序,T2x手机保护壳和屏幕保护膜，分别与哪些型号的手机是通用的？
T2x,续航赛道,买手机电池不耐用，到售后更换了，现在手机相机拍照会出现画面静止，表示售后检测不出来，偶尔会出现，售后换的手机贴膜里面有有两个纤毛，表示不是新机，昨天去武汉市江岸区合作路售后检测屏幕、电池、其他东西都没有问题，对售后检测结果不认可，来电要求公司协助退机或更换新机。
T2x,性能赛道,刷视频的时候滑控制中心，会感觉到明显的延迟和过渡动画大吊帧
T2x,内置程序,白天后相机拍照不出来照片，都是全白的
T2x,性能赛道,假的，我天玑1300也能升级
T2x,内置程序,指纹无异样，每次解锁都是输入密码。
T2x,性能赛道,不要买天玑1300了实际不如1000王者90帧人多掉到30我同学的1100都稳90真的太垃圾了完全虚标
T2x,续航赛道,没电就没了
T2x,续航赛道,确实，也就电池大点
T2x,性能赛道,很垃圾，屏幕断触，反应慢
T2x,内置程序,现在手机屏幕太大，截屏需要双手操作，能不能学习一下小米三大金刚键，可以设置长按一个按键截图，另外水滴屏能不能改成在所有情景下都隐藏，无论是桌面，任何应用打游戏看视频等等，这个水滴看着是真难受，我们消费者又不缺那点屏幕，给我们视觉更好一点效果就心满意足了，而且要影藏水滴需要一个个应用关闭，那多麻烦
T2x,续航赛道,新系统功耗如何？
T2x,发热赛道,用户来电反馈手机：1.充电发热2.卡顿3.设置都加载不出来4.恢复模式recovery很卡5.NFC加载不出来，11月12日前往售后（青岛市黄岛开发区香江路68-10号（vivo体验店）已经为其抓log反馈，品质工单：TSNXCN-2022111200085，来电催促，处理，且用户表明多次贴膜仍有灰尘，很明显，让其明天再去；其询问手机能不能放到售后，让售后试一试，告知其建议与售后协商；另其表明手机系统版本是：pd2188k-a-12.0.11.3，想要降级，建议售后；其再次告知手机很多问题，自己和售后都没有办法，希望公司协助处理。
T2x,性能赛道,想问下8G运存的最多可以加多少内存融合
T2x,内置程序,为什么我手机的微信不打开后台就收不到消息，QQ也一样
T2x,性能赛道,打游戏卡顿画面卡顿哥我求你们了，给我修复吧！天机1300也不好用啊！90帧都没有
T2x,性能赛道,t2x的温控感觉太严格了，别说游戏，日常玩久点就会降亮度，掉帧。
T2x,内置程序,不小心删了，就再也找不到了，有什么软件可以恢复吗
T2x,内置程序,桌面图标和文字太小，怎样放大
T2x,发热赛道,温度正常的情况下打王者莫名其妙掉帧，画质调的低，走个路都直接从60帧掉到9帧
T2x,性能赛道,而且root之后官方的任何更新都很难适应的，会卡bug，相当于定制机了，没专业团队护理系统基本凉凉
T2x,性能赛道,钉钉开视频会议后，切换其他应用特别卡
T2x,性能赛道,这个手机用户不多啊，以前主打线上，线上没做起来又转做线下，他处理器还行但是系统优化很垃圾，用户体验太差了
T2x,性能赛道,为什么我的手机提前激活了5天;vivo官网;vivo T2x<br>CMIIT ID:2022CP2962<br>激活日期为2022年11月8日<br>我的购买时间为2022年11月7日<br>告诉我为什么提前激活我的手机，若没有给我满意的解释，我将七天无理由退此款手机;vivo T2x<br>CMIIT ID:2022CP2962<br>激活日期为2022年11月8日<br>我的购买时间为2022年11月7日<br>告诉我为什么提前激活我的手机，若没有给我满意的解释，我将七天无理由退此款手机;为什么刚一下单，次日后就激活我的手机;其中缘由是什么;我的手机联网了;或者这不叫激活;但是有人动了我的手机，证据确凿，请回答我为什么;***;IMEI码:***;vivo T2x<br>IMEI码:***<br>CMIIT ID:2022CP2962<br>激活日期为2022年11月8日<br>我的购买时间为2022年11月7日<br>告诉我为什么提前激活我的手机，若没有给我满意的解释，我将七天无理由退此款手机;好吧，那不叫激活，但是2022年11月8日手机连了网;请告诉我是否有人恶意安装插件监视客户;这是联网时间2022/11/8;是否有人恶意安装隐形文件;以监视客户;由于有人提前拆开手机联网，所以可能有人联网恶意安装病毒存在，希望贵公司能坚决维护消费者权益并严厉打击后封机;出库没问题，但出库后第二天在中转站出了问题;好吧，我还是退掉手机吧;你们根本没有诚意;下次别让我发现;这次就算了，下次我会买两台手机，如果都是后封机，那我就退货;我还会买手机的
T2x,性能赛道,天玑1300的T2x怎么锁Band？*#*#9955#*#*进去没有锁Band选项
T2x,性能赛道,vivo t2x有时候会无缘无故卡死，不知道是天机1300不行。还是系统优化不行
T2x,内置程序,你开了性能模式没？
T2x,性能赛道,为什么我一直在界面超时，一直进不去
T2x,性能赛道,王者荣耀90帧锁60帧
T2x,性能赛道,屏幕刷新率默认120HZ没？
T2x,内置程序,设置退出后加密，可退出重进没有输入加密密码就进入了
T2x,内置程序,输入法是不是自带有点卡，
T2x,性能赛道,游戏无论是画面还是流畅度都非常棒！相比其他坦克游戏，我个人觉得是第一！
T2x,发热赛道,用户昵称：王欣琦回复时限：48小时内（2022-11-1720:1:31前）要求晚上20:00点之后都可以拨打电话地址：天津天津市北辰区小淀镇洛河道2号天津职业大学反馈内容：用户于2022-11-1519:13:10来访在线客服7818和7522咨询需要投诉这个手机，买个2个月，现在用微信都非常卡，手机也很发热，其说之前购买3天就出现问题，客服推脱说使用观察看看，后面问题依然存在，其说要气死了，其要求维权，才买几个月手机就这样，引导其进行排查，为其检测发热情况，主要是使用王者荣耀出现的发热，其多次强调需要投诉，安抚致歉，告知为其进行反馈，其同意，麻烦跟进处理，谢谢！反馈平台：官网A反馈人：冉玉玮
T2x,内置程序,本机音乐应用卸载如何恢复
T2x,性能赛道,商品链接：;以旧换新;多久可以换;不是的这个手机比较卡;用了差不多40天;购买的新机;用了40天手机比较卡;能不能换;VIVO官网;商品链接：;商品链接：;***;手机卡;甘肃省定西市岷县;可以;手机反应迟钝，;手机反应迟钝，;出现手机卡一系列问题;是最新版本;多个;主要是微信;👌
T2x,性能赛道,顺畅
T2x,性能赛道,买T系列图啥？没看到新系统的更新计划吗……管生不管养，你可以看看大伙的帖子啊这个价位，看看OPPO、荣耀啥的不香吗，系统稳定性、流畅度，以及后续的维护肯定比这家强啊。
T2x,性能赛道,不玩游戏还行，就是系统优化的不怎么样，偶尔有点卡
T2x,性能赛道, 大家也这样吗
T2x,内置程序,字句中之前经常输入的字词没有自动记忆功能，其它的输入法一般都会有自动记忆经常输入的字词的。希望能跟进一下。
T2x,性能赛道,T2X可以，电池容量大，系统还是很流畅的，NFC，耳机孔都有。缺点就是拍照不行，马达也不行，看你自己的取舍了。
T2x,内置程序,偶尔指纹解锁没反应，按电源键亮屏再熄屏后，指纹解锁就正常了
T2x,内置程序,您好，我遇到了问题了 感觉给我的体验感不是很好 我想要复制文字我长按它都没有识别复制粘贴我要点击那个图片要打开相册从里面粘贴出来太麻烦了
T2x,内置程序,本机输入法没有粤语语音识别，
T2x,内置程序,请问，怎么查询手机激活日期<br>我想查询下激活时间<br>V粉卡未按时激活;是的;***;我想知道首次激活时间;哦，新手机闹钟里面有提前设置的闹钟吗;那我的收到就发现里面有两个设计好了的呢，这是买到二手机了吗;拼多多百亿补贴;魅族，没有用一键换机;哦，是未开启的;好的，谢你了;没有了谢谢
T2x,性能赛道,锁屏超过10分钟，双击亮屏不灵敏，第一次双击没反应，第二次才能亮屏。
T2x,性能赛道,画面很清晰 音质也很好，玩起来一点都不卡！
T2x,性能赛道,我的手机打游戏老是有偶尔的卡顿，大概两秒左右，不是网络问题，还有就是打游戏的时候后台不能挂微信电话，挂微信电话特别特别卡走都走不了掉帧很严重，植物大战僵尸都闪退
T2x,发热赛道,订单号:***************4，订单2022-07-10购买的，用户表示手机发热卡顿严重影响使用，今天听歌刷小红书CPU60多度，现在封着去不了，不想前往服务中心检测，白天上课接不了电话，八点之后都可以联系，用户对三包政策不满想退货，麻烦协助处理。所在地区:天津天津市北辰区小淀镇详细地址:洛河道2号天津职业大学
T2x,内置程序,请问桌面怎么显示年？比如2022-11-06
T2x,续航赛道,能不能给t2x一个查看电池容量的功能
T2x,内置程序,信息字体太小
T2x,性能赛道,有没有可能，天玑1300的性能本来就是开最高画质帧数40帧左右
T2x,内置程序,第三方软件;imei码：*** 1、问题现象及复现步骤：后台退出之后，软件需要重新进入，手机杀后台，建议设置允许软件一直在后台运行，表示是设置好的，不接受解释表示其它手机都可以，建议抓LOG，其同意 2、问题出现次数：必现/一天多次/很难复现（低概率难复现无需建单）:一直 3、第三方应用名称4、第三方应用版本号5、应用下载途径：应用商店/其它途径（提供下载链接或APK安装包）8、系统版本号： 9、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）10、Log提取码11、服务码(没有就不填写) 12、抓Log时问题出现时间点(精确到分)13、是否有承诺回复（承诺回复需备注回复时间）：
T2x,内置程序,我t2x的运动步数严重不准确，我测了好几次我明明走了4-5拾步，但是就是只显示走了十几步。我不知道要设置什么才能误差小一点。
T2x,发热赛道,开小窗卡的要死，尤其打视频的时候，发热异常
T2x,性能赛道,你画质调低一下试试，天玑1300虽然能跑70多万，但是原神本身也是比较吃性能的游戏
T2x,内置程序,vivo T2x 除了三指下滑还可以怎么截屏
T2x,内置程序,有些软件不能分身两个，建议优化，比如说腾讯微云，百度网盘，等等， 还有就是就是进入切换成多用户不需要设置密码就能进入，这样子有安全隐患， 有些应用不能隐藏，应该开发这些功能， 相册不能识别文字，
T2x,性能赛道,登记时间2022-11-186:30:12消费者姓名王欣琦联系电话158***5082业务信息销售方式网购商品/服务类型手持移动电话（手机）品牌VIVO(vivo)商品名称vivoT2X订单号***************4金额（元）1738.0争议发生时间2022年11月18日投诉问题类型不符合以产品说明、实物样品等方式表明的质量状况诉求内容退货投诉内容我于2022年7月10日下单一台手机，16号到货，17号手机出现明显卡顿，询问客服，说让我在用几天观察观察，因为信任这个牌子，就用了几天，再次出现问题时已经过来7天，无法退货，期间询问很多次，始终没有结果。这两天去找客服，客服推脱责任，要求验机，我同意，但是客服是验机重修，就是不个退，想把手机以旧换新卖出去，奈何差价太多，我个人认为这个产品质量问题，这个差价（赔的钱不应该由我一人承担。手机非常发烫，客服推脱责任，说我游戏过程过程才热事实是现在发个消息手机都会干到明显发热），对这个品牌太失望互相推卸责任，bug特别多昨天手机在正常使用情况卡死，有视频为证，客服也不处理。手机根本没法用，希望警察给孩子个说法。现在要回收赔800多，根本没有能力承担，希望vivo公司补偿一半，我会将手机退回处理以下视频是客服推脱和出现bug的证据
T2x,性能赛道,这次更新完系统后，只要运行在文件夹里的程序，再从底部上划返回桌面，就会非常卡，以前不这样。但是如果程序图标单独在桌面上，运行程序再返回桌面就不卡。此问题严重影响体验，请尽快处理！
T2x,续航赛道,省电技巧：5G关闭切换成4G，把多余不用的通知关闭
T2x,内置程序,可不可以设置一下夜间模式呢？
T2x,续航赛道,T2X更新完新系统三天了耗电太快了，建议不要更新！！！！
T2x,内置程序,imei码：*** 1、问题现象及复现步骤： WiFi连接不上 2、路由器型号（最好能提供路由器背面型号照片）：不详 3、出现异常时的WiFi运营商（电信/联通/移动）：电信 4、WiFi的场景/网络名称/2.4G/5G（如家里移动5G WiFi/办公室2.4G 公共WiFi）：家里WiFi 5、连接其它WiFi情况（正常/不正常）：没有测试 6、用流量进行相同操作（正常/不正常）：正常 7、同时间同场景其他手机是否正常，写出具体名称型（**正常/**不正常/无条件对比）：X27，还有其他vivo 8、系统版本号： .W10.V000L1 9、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）10、Log提取码11、服务码（没有就不填写）12、抓Log时问题出现时间点(精确到分) 13、是否有承诺回复（承诺回复需备注回复时间） 
T2x,内置程序,T2x有没有熄屏显示功能？如何打开唉？
T2x,内置程序,这个返回键我也真的是罪了，烦死了，没玩到最后，放弃了~~~%F0%9F%98%A4
T2x,续航赛道,"买准备买T2x你觉得这可以买吗,上班族续航长,偶尔打打游戏你们觉得这个机型可以吗"
T2x,内置程序,图像太失真网络太卡 希望以后优化这个方面  
T2x,性能赛道,vivot2x使用卡顿，游戏不跟手
T2x,内置程序,t2x 12.0.11.5.w10.v000l1   从文件夹内回桌面每次都会卡一秒钟，很影响体验，以前没有，希望尽快解决
T2x,性能赛道,T2x感觉没后续了啊！估计项目部都没人了吧！系统跟不上啊，在他们自家的网站上面跳转，都会出现白屏的情况！我也没开啥啊！  估计T系列要凉凉了，而且没人接手资料，没人收拾后续系统更新的服务 我觉得这手机用两年顶天了，系统早晚卡死
T2x,内置程序,自己设置的命令为什么要解锁才能执行，可不可以取消解锁就能执行
T2x,续航赛道,买这个手机看中的就是电池，真他妈舒服
T2x,性能赛道,手机投票电脑，选择手机的音频输出方式时，选择电脑没反应。
T2x,发热赛道,手机自从系统升级后经常发热，耗电也相当快。
T2x,发热赛道,打游戏掉帧现象卡顿现象发烫严重
T2x,内置程序,无障碍功能总是自动开启
T2x,内置程序,上网卡顿，看视频颜色失真
T2x,续航赛道,耗电倒是没注意
T2x,内置程序,系统升级后 手机锁屏界面上面有一把锁但是不需要密码面部指纹就解开了 软件版本号：.W10.V000L1 imei：***
T2x,内置程序,两个卡，两个微信号，有时候能群发图片，有时候不能，一个微信号可以截图，一个微信号不能截图，
T2x,续航赛道,感觉现在耗电超快，不到一天没电了
T2x,性能赛道,按专卖店员说的，夜间关机五分钟
T2x,内置程序,请添加双拼。现在输入法没有此功能。
T2x,内置程序,这个自带输入法如何输入其他语种？
T2x,性能赛道,玩王者荣耀掉频很牛逼！这手机也性能也太好了，下次别再生产手机了
T2x,内置程序,误删信息图标，不知道该如何恢复  
T2x,发热赛道,玩游戏时一直卡顿掉帧发热
T2x,内置程序,苹果客户端在哪下载，应用市场搜不到
T2x,内置程序,图标文字太小了看着费力
T2x,性能赛道,vivo t2x。下滑控制菜单不是很灵敏。经常要拉2次才拉下来。
T2x,内置程序,希望在工具里加上图片转文字，参考搜狗输入法，有的输入法也有，但是没有搜狗的方便
T2x,性能赛道,开启高帧率没？
T2x,性能赛道,信号断断续续，而且还是在正常情况下，在系统没更新之前是没这种情况的，麻烦赶紧解决
T2x,内置程序,微信消息提示已经打开  系统提示音也已经打开  但是接收消息只会振动  没有提示音
T2x,续航赛道,小道消息7500毫安电池8gen2
T2x,性能赛道,智能帧率关了试试
T2x,性能赛道,参数标错了，骁龙778g+只有一个2.5GHz，3个2.4GHz，4个1.9GHZ小核
T2x,内置程序,网络加速就是垃圾中的垃圾。该加速软件根本加速不了。而且加速里面都没有名单。我怀疑这个开发者的脑子有病
T2x,性能赛道,游戏掉帧严重，特别是打团的时候
T2x,发热赛道,我又没玩很久，怎么就发热?;这款手机很容易发热吗？;不是王者荣耀，是别的游戏;我用的另一部oppo手机就没有这种情况啊;不是软件过多，刚买今天才到货，没下载什么软件;额😓醉了;同一个网络，别的手机没问题;咋解决啊;本来买个手机是件开心的事情;你给我发的手机是不是正品啊？;质量到底如何?;咋第一天就出现这种情况;虽然我是第一次在你们商场买;***;那就是买的这款手机不行;本来在oppo和你们家之间纠结;后面选择买了这个vivo;要不就是你们这款型号手机很垃圾;确定不是翻新机吗;这么垃圾的;这个型号玩游戏不太行啊;只能打打电话发发微信?;机型对比;购机指南;这个t2x和t1哪个好些;你直接说哪个性能好;刚买就让我升级，我也是看不懂
T2x,性能赛道,机器卡顿到售后更换新机，更换的新机出现待机状态下耗电快的情况（其表示更换新机时间不记得），帮其排查其不接受，用SDA为其检测无效，提示系统异常（879531），建议其售后检测，其表示售后只能解决硬件的问题，表示售后检测不出来什么，现来电要求公司协助其处理机器问题。未完结bpm单：QFM27A002211130011预留号码：185***9378
T2x,内置程序,新增了视频通话场景，是什么意思，是无障碍通话和声音识别支持微信语音和视频通话场景了吗，我t2x手机怎么无法实现，请解释一下。
T2x,内置程序,vivo浏览器打开一个网页然后下载的文档打开是乱码;试过清除缓存，重启手机;下载还是乱码;这个网站，我在我另一个vivo手机上下载文档就能打开;这个通讯界面视频可以打过来嘛？;那你等我会儿;视频：;视频：;前几天还不是乱码;对;两部都是;都是vivo浏览器;269478;我还要发视频给你吗？;等一下哈，内存有点大我压缩一下;视频：;👌🏻;1.12.7.0.0<br>2.vivoT2X<br>3. PD2188K_A_12. 0. 11. 5. W10. V000;账号：zwy2lzy;157***7950;手机IMEI是什么呀;MEID: A0000101481A68<br>IMEI1: ***<br>IMEI2: ***<br>SN : 3469463333001PE;好了吗;好
T2x,性能赛道,锁屏状态时间较长时，双击亮屏不灵敏，需要双击两次才能唤醒，升级系统后少有改善，但问题仍然存在。
T2x,发热赛道,官方能不能把系统优化好?我游戏分屏看快手，有朋友给我打电话，手机直接卡死，手机屏幕中间一大团黑色 ，当时我连电话都不敢接，害怕屏幕坏了，退出界面还有一大团黑，等了好几分钟才小时，手机还特别热。下次不买vivo手机了艹，还有那个新系统更新，那么多不如我这款手机的手机比我更新都早，666vivo策划真NB，以后买vivo我倒立
T2x,内置程序,智能记账无法同步数据
T2x,内置程序,在阅读微信文章或朋友圈时收到微信消息，点击通知栏，危险直接变成当前页面的小窗，不能查看消息。我希望在当前浏览页面保留的同时显示一个小窗查看消息
T2x,性能赛道,我就喜欢这种的，什么风你随便，只要主界面这个天气时钟能够方便看公历和农历时间星期，显示电量更好，可以叫它实用风
T2x,性能赛道,机器出现屏幕局部区域没有反应的现象，需送至售后检测。机器购买两个月，其表示是屏幕自身问题，若检测符合保修，其不想修，想要换机处理。目前在山东省威海市环翠区，来电希望公司协助处理。
T2x,内置程序,我买了新手机，许多快捷键都变了，不知道怎么操作
T2x,性能赛道,还有看腾讯视频时来微信视频也会卡死
T2x,性能赛道,更新一次比一次垃圾，屏膜还断触
T2x,续航赛道,手机充到92格电就充不进去了
T2x,内置程序,微信应用加密不弹，只有锁屏再开才弹，我设置了退出应用一分钟弹加密但是它不弹，但是QQ就弹
T2x,内置程序,微信在桌面用小窗为什么黑屏
T2x,续航赛道,低于6000毫安电池我不买，我现在用的t2x电池可以
T2x,性能赛道,能登录，但是一到匹配排位就卡死，直接黑屏
T2x,续航赛道,电池最大容量多少
T2x,性能赛道,停车服务不能持久显示，经常自行下线。
T2x,内置程序,慧知行小学版不能用，应用商店安装不了。急需处理！
T2x,性能赛道,t2x新机屏幕就不灵敏
T2x,内置程序,相册精选有概率不显示
T2x,性能赛道,打视频的时候输入法迟钝卡顿，手机是新购的 
T2x,性能赛道,游戏又卡了
T2x,性能赛道,vivot2x打王者都掉帧，后台如果有电话的话，卡的要死，后台如果打微信电话的话，卡的要死，走都走不了，不是说适配90针了吗？我这个怎么还是显示开不了？
T2x,内置程序,闹钟时钟里面的计时器铃声只能设置系统内的
T2x,内置程序,院子笔记死在桌面上了，点不开挪不走卸不了
T2x,内置程序,删错了，我要恢复图片和视频
T2x,内置程序,来电亮灯不需要，移除來电亮灯
T2x,性能赛道,卡顿
T2x,性能赛道,手机看腾讯视频时来微信视频电话时手机就卡死了，点屏幕一点反应都没有，几次都是这样，这么高的配置不应该发生这么低级的错误吧
T2x,内置程序,希望增加一个功能。用户自己调CPU频率的功能。像Windows电脑系统一样。可以在设置里限制CPU频率。
T2x,性能赛道,我也这样过，我打游戏时，朋友打电话，我接了，手机直接卡死点什么都不管用，有时候听歌的时候玩手机，歌声还会出现卡顿
T2x,内置程序,本机的NFC功能在什么地方，怎么找不到？
T2x,内置程序,"想安装回能量魔方,但还是安装不了。"
T2x,内置程序,为什么我的应用页面的颜色呈现灰白色
T2x,性能赛道,系统卡顿导致的
T2x,内置程序,系统升级后软件首页变黑白
T2x,性能赛道,建议增加一个兼容模式。玩一些旧款的单机安卓游戏不兼容，打不开闪退，在旧手机就能运行。
T2x,性能赛道,屏幕触控不灵敏，经常没反应！
T2x,续航赛道,t2x那个电量数字能不能移到外边？
T2x,内置程序,只有这一家的壁纸才是好看清晰的
T2x,内置程序,软件没做好就不要，希望更新原子笔记， 让人使用起来没有那么卡顿和闪退，还有笔记搜索功能用不了。
T2x,续航赛道,系统耗电有一点厉害
T2x,内置程序,放大功能的图标放哪里都碍事，能不能设置成常驻底部或者某种手势？
T2x,性能赛道,我的也是屏幕断触
T2x,内置程序,在吗<br>怎么删除谷歌play服务<br>是否可以卸载系统软件<br>手机出现Google Play服务更新程序;vivo账号实名认证不是我本人;那个怎么更改;130***2699;不认识;好的;这个;是自己注册的;但是我从来都没有实名认证;我也不知道从哪实名认证的;申诉不通过;怎么办;130***2699;就是这个;好的;1.实名认证不是本人;2.   130***2699;3.认证不是本人的身份证号，无法清除;5.无;6.登陆过vivot2x;***;imei号;好了;130***2699;好的，谢谢;没了没了;再见
T2x,内置程序,打开录屏，无法语音唤醒
T2x,内置程序,"imei码：***（注：BPM正文不允许将imei码复制过去，记录在咨询检录即可） 1、问题现象及复现步骤：买了2部T2x,旧机开启游戏魔盒屏幕通知可以正常屏蔽通知，但是新买的T2x开启了屏蔽通知没有效果，消息还是正常提醒。建议更新系统版本，还原，仍有异常可抓取log数据 2、问题出现次数3、应用或功能名称：游戏魔盒 4、应用版本号：V11.1.3.003 5、系统版本号：.W10.V000L1 6、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）7、Log提取码8、服务码(没有就不填写) 9、抓Log时问题出现时间点(精确到分)10、是否有承诺回复（承诺回复需备注回复时间）："
T2x,性能赛道,在文件夹的应用返回时卡顿
T2x,性能赛道,什么时候内陆内测呀？港澳的版本好卡呀
T2x,发热赛道,每次充电都热热的，每次充不了多久，怕等下烧坏了
T2x,内置程序,与普通壁纸区别在哪？
T2x,续航赛道,T2x除了电池还行，其它触控不灵敏，全屏手势，底部划最近活动要划好多次，还有时候一些软件文字重叠，扣扣软件聊天有时聊天自带的输入法只出现一个空白框。。。。。。
T2x,性能赛道,希望改进一下vivo t2x，掉帧问题寄的时候打着视频通话掉帧很严重希望可以得到改进
T2x,内置程序,你好，我遇到了问题了 我按那个麦克风识别转文字有时候不太准确文字会识别错误这块后期在网上优化一下
T2x,性能赛道,T2x为啥最高速率600Mbps
T2x,续航赛道,耗电
T2x,性能赛道,点手机屏幕的时候有点不动的问题，明明有时要清楚掉就是清不了。我一部老手机，也是这款vivo就没这问题，所以相信了它的质量又买了新的，哪想不满意！
T2x,性能赛道,内存大
T2x,内置程序,官方什么时候更新T2x的光遇行为壁纸啊？都等了这么久了。现在行为壁纸太单调了。
T2x,内置程序,视频：;视频太大了，分成两节了;视频：;要不然发不过去;log妈在哪;浏览器12.8.0.0<br>手机型号t2x<br>手机系统版本见下图;账号，156***9900<br>电话156***9900;A000***4856C1;***;好麻烦。能不能直接给退了算了。;手机退了，体验太差，输入法出了2次问题，再是浏览器有问题;京东;你们官方给个说法，我找人家退才好说啊，要不手机都买了一个多月了
T2x,内置程序,为什么重复日程不能删除其中一天的，明明之前是可以的
T2x,内置程序,建议主题可以自定义搭配，图标，状态栏等
T2x,内置程序,用户来电要求卸载i管家，表示手机在使用i管家一键优化时，将其微信账号，密码、聊天记录全部清除了，要求给其找回聊天记录。
T2x,性能赛道,游戏打不开，未成年人防沉迷游戏
T2x,内置程序,智慧视觉无法识别二维码
